"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.43.45","8.8.8.8","DNS","83","Standard query 0x1d7c HTTPS configuration.apple.com"
"2","0.000093","192.168.43.45","8.8.8.8","DNS","83","Standard query 0xb805 A configuration.apple.com"
"3","0.000217","192.168.43.45","8.8.8.8","DNS","74","Standard query 0x8fdc A api.github.com"
"4","0.127652","192.168.43.45","8.8.8.8","DNS","91","Standard query 0xdb38 A signaler-pa.clients6.google.com"
"5","0.127897","192.168.43.45","8.8.8.8","DNS","91","Standard query 0x8bf4 HTTPS signaler-pa.clients6.google.com"
"6","0.166777","192.168.43.45","8.8.8.8","DNS","86","Standard query 0x15ee A waa-pa.clients6.google.com"
"7","0.167012","192.168.43.45","8.8.8.8","DNS","86","Standard query 0xb025 HTTPS waa-pa.clients6.google.com"
"8","0.184115","192.168.43.45","8.8.8.8","DNS","75","Standard query 0x279c A play.google.com"
"9","0.184350","192.168.43.45","8.8.8.8","DNS","75","Standard query 0xd043 HTTPS play.google.com"
"10","0.832387","192.168.43.45","157.240.11.54","TCP","78","60230  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3781683945 TSecr=0 SACK_PERM"
"11","0.832551","192.168.43.45","8.8.8.8","DNS","82","Standard query 0xfc9a HTTPS api.apple-cloudkit.com"
"12","0.832765","192.168.43.45","8.8.8.8","DNS","116","Standard query 0x70ef A prod-dynamite-prod-05-us-signaler-pa.clients6.google.com"
"13","0.832862","192.168.43.45","8.8.8.8","DNS","91","Standard query 0x6e1b A signaler-pa.clients6.google.com"
"14","0.833124","192.168.43.45","8.8.8.8","DNS","86","Standard query 0x78e6 A waa-pa.clients6.google.com"
"15","0.833230","192.168.43.45","8.8.8.8","DNS","78","Standard query 0x9de8 HTTPS init.ess.apple.com"
"16","0.833335","192.168.43.45","8.8.8.8","DNS","78","Standard query 0xd0f8 A init.ess.apple.com"
"17","1.099676","192.168.43.45","157.240.241.61","TCP","78","60231  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=730748290 TSecr=0 SACK_PERM"
"18","1.099821","192.168.43.45","8.8.8.8","DNS","79","Standard query 0x7ebd HTTPS query.ess.apple.com"
"19","1.100016","192.168.43.45","8.8.8.8","DNS","79","Standard query 0xb4fe A query.ess.apple.com"
"20","1.720790","192.168.43.45","8.8.8.8","DNS","77","Standard query 0xb057 A metrics.cursor.sh"
"21","1.720854","192.168.43.45","8.8.8.8","DNS","77","Standard query 0x65a0 HTTPS metrics.cursor.sh"
"22","1.928303","192.168.43.45","8.8.8.8","DNS","75","Standard query 0xde2b A ssl.gstatic.com"
"23","1.928368","192.168.43.45","8.8.8.8","DNS","75","Standard query 0x7e00 HTTPS ssl.gstatic.com"
"24","2.733691","192.168.43.45","8.8.8.8","DNS","77","Standard query 0xd3e8 A metrics.cursor.sh"
"25","2.733870","192.168.43.45","8.8.8.8","DNS","77","Standard query 0x7847 HTTPS metrics.cursor.sh"
"26","2.941936","192.168.43.45","8.8.8.8","DNS","75","Standard query 0xe9f6 A ssl.gstatic.com"
"27","2.942054","192.168.43.45","8.8.8.8","DNS","75","Standard query 0x1216 HTTPS ssl.gstatic.com"
"28","2.992308","192.168.43.45","8.8.8.8","DNS","76","Standard query 0xe02d A repo42.cursor.sh"
"29","3.778618","192.168.43.45","192.168.43.42","UDP","46","2399  >  2390 Len=4"
"30","3.780578","192.168.43.45","192.168.43.42","UDP","45","2399  >  2390 Len=3"
"31","3.789299","192.168.43.42","192.168.43.45","UDP","74","2390  >  2399 Len=32"
"32","3.790218","192.168.43.45","192.168.43.42","UDP","45","2399  >  2390 Len=3"
"33","3.794518","192.168.43.42","192.168.43.45","UDP","49","2390  >  2399 Len=7"
"34","3.795117","192.168.43.45","192.168.43.42","UDP","45","2399  >  2390 Len=3"
"35","3.799400","192.168.43.42","192.168.43.45","UDP","47","2390  >  2399 Len=5"
"36","3.799732","192.168.43.45","192.168.43.42","UDP","45","2399  >  2390 Len=3"
"37","3.803926","192.168.43.42","192.168.43.45","UDP","53","2390  >  2399 Len=11"
"38","3.808248","192.168.43.45","192.168.43.42","UDP","45","2399  >  2390 Len=3"
"39","3.812636","192.168.43.42","192.168.43.45","UDP","46","2390  >  2399 Len=4"
"40","3.813263","192.168.43.45","192.168.43.42","UDP","45","2399  >  2390 Len=3"
"41","3.813609","192.168.43.45","31.13.66.51","TCP","78","60232  >  80 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1124878712 TSecr=0 SACK_PERM"
"42","3.817617","192.168.43.42","192.168.43.45","UDP","51","2390  >  2399 Len=9"
"43","3.822537","192.168.43.45","192.168.43.42","UDP","52","2399  >  2390 Len=10"
"44","3.827091","192.168.43.42","192.168.43.45","UDP","47","2390  >  2399 Len=5"
"45","3.828771","192.168.43.45","192.168.43.42","UDP","64","2399  >  2390 Len=22"
"46","3.829231","192.168.43.45","192.168.43.42","UDP","64","2399  >  2390 Len=22"
"47","3.830304","192.168.43.45","192.168.43.42","UDP","47","2399  >  2390 Len=5"
"48","3.830364","192.168.43.45","192.168.43.42","UDP","46","2399  >  2390 Len=4"
"49","3.835323","192.168.43.42","192.168.43.45","UDP","47","2390  >  2399 Len=5"
"50","3.835329","192.168.43.42","192.168.43.45","UDP","47","2390  >  2399 Len=5"
"51","3.835330","192.168.43.42","192.168.43.45","UDP","47","2390  >  2399 Len=5"
"52","3.835331","192.168.43.42","192.168.43.45","UDP","48","2390  >  2399 Len=6"
